SKU,Product_Category,Brand,Product_Name
BEV-AG-102,Beverages,AquaGlow,Sparkling Water Berry
BEV-AG-101,Beverages,AquaGlow,Sparkling Water Lemon
BEV-FC-201,Beverages,FUELCORE,Energy Drink Classic
BEV-FC-202,Beverages,FuelCore,Energy Drink Zero
BEV-RT-301,Beverages,RoastTrail,Instant Coffee Gold
BEV-ZL-401,Beverages,ZenLeaf,Green Tea Bags
DBF-FJ-202,Dairy & Breakfast,FarmJoy,Greek Yogurt Plain
DBF-FJ-201,DAIRY & BREAKFAST,FarmJoy,Yogurt Cup Strawberry
DBF-MC-101,Dairy & Breakfast,MorningCo,Granola Honey
DBF-MC-102,Dairy & Breakfast,MorningCo,Oats Wholegrain
DBF-PP-302,Dairy & Breakfast,PantryPeak,Cereal Corn Flakes
DBF-PP-301,Dairy & Breakfast,PantryPeak,Peanut Butter Creamy
HHD-HN-101,Household,HomeNest,Dishwash Liquid
HHD-HN-102,Household,HomeNest,Laundry Detergent
HHD-SF-302,  Household ,softora,Paper Towels
HHD-SF-301,Household,Softora,Tissue Pack
HHD-SS-202,Household,SPARKSHIELD,Glass Cleaner
HHD-SS-201,Household,SparkShield,Surface Cleaner
PCR-BS-302,Personal Care,BrightSmile,Toothbrush Soft
PCR-BS-301,Personal Care,BrightSmile,Toothpaste Mint
PCR-FN-201,Personal Care,  FreshNest ,Body Wash Citrus
PCR-FN-202,Personal Care,FreshNest,Hand Soap Gentle
PCR-PL-102,Personal Care,PureLiva,Conditioner Smooth
PCR-PL-101,Personal Care,PureLiva,Shampoo Repair
SNK-BI-401,  Snacks ,Biscora,Chocolate Cookies
SNK-CM-102,Snacks,CrunchMile,Potato Chips BBQ
SNK-CM-101,Snacks,CrunchMile,Potato Chips Sea Salt
SNK-NB-201,Snacks,NutriBite,Protein Bar Cocoa
SNK-NB-202,SNACKS,NutriBite,Protein Bar Peanut
SNK-TN-301,Snacks,TrailNest,Trail Mix Original
DBF-FJ-201,DAIRY & BREAKFAST,FarmJoy,Yogurt Cup Strawberry
PCR-PL-102,Personal Care,PureLiva,Conditioner Smooth
